Team,Player Name,Player ID,Image,Position,Jersey,Age,Height,Weight,Experience
Atlanta Hawks,Nickeil Alexander-Walker,4278039,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,G,7,27,"6' 5""",205 lbs,6
Atlanta Hawks,Tony Bradley,4065673,https://a.espncdn.com/i/headshots/nba/players/full/4065673.png,C,13,28,"6' 10""",248 lbs,7
Atlanta Hawks,Dyson Daniels,4869342,https://a.espncdn.com/i/headshots/nba/players/full/4869342.png,G,5,23,"6' 7""",199 lbs,3
Atlanta Hawks,RayJ Dennis,4431941,https://a.espncdn.com/i/headshots/nba/players/full/4431941.png,G,00,25,"6' 2""",180 lbs,1
Atlanta Hawks,Keshon Gilbert,4585618,https://a.espncdn.com/i/headshots/nba/players/full/4585618.png,G,N/A,22,"6' 4""",200 lbs,N/A
Atlanta Hawks,Mouhamed Gueye,4712863,https://a.espncdn.com/i/headshots/nba/players/full/4712863.png,F,18,23,"6' 11""",210 lbs,2
Atlanta Hawks,Buddy Hield,2990984,https://a.espncdn.com/i/headshots/nba/players/full/2990984.png,G,8,33,"6' 4""",220 lbs,9
Atlanta Hawks,Caleb Houstan,4433623,https://a.espncdn.com/i/headshots/nba/players/full/4433623.png,G,33,23,"6' 8""",205 lbs,3
Atlanta Hawks,Jalen Johnson,4701230,https://a.espncdn.com/i/headshots/nba/players/full/4701230.png,F,1,24,"6' 8""",219 lbs,4
Atlanta Hawks,Corey Kispert,4280151,https://a.espncdn.com/i/headshots/nba/players/full/4280151.png,F,24,27,"6' 6""",224 lbs,4
Atlanta Hawks,Christian Koloko,4431778,https://a.espncdn.com/i/headshots/nba/players/full/4431778.png,C,35,25,"6' 11""",225 lbs,3
Atlanta Hawks,Jonathan Kuminga,4433247,https://a.espncdn.com/i/headshots/nba/players/full/4433247.png,F,0,23,"6' 7""",225 lbs,4
Atlanta Hawks,Jock Landale,3146557,https://a.espncdn.com/i/headshots/nba/players/full/3146557.png,C,31,30,"6' 11""",255 lbs,4
Atlanta Hawks,CJ McCollum,2490149,https://a.espncdn.com/i/headshots/nba/players/full/2490149.png,G,3,34,"6' 3""",190 lbs,12
Atlanta Hawks,Asa Newell,4873201,https://a.espncdn.com/i/headshots/nba/players/full/4873201.png,F,14,20,"6' 10""",220 lbs,0
Atlanta Hawks,Onyeka Okongwu,4431680,https://a.espncdn.com/i/headshots/nba/players/full/4431680.png,F,17,25,"6' 10""",240 lbs,5
Atlanta Hawks,Zaccharie Risacher,5211175,https://a.espncdn.com/i/headshots/nba/players/full/5211175.png,F,10,21,"6' 8""",200 lbs,1
Atlanta Hawks,Gabe Vincent,3137259,https://a.espncdn.com/i/headshots/nba/players/full/3137259.png,G,4,29,"6' 2""",200 lbs,6
