Display Name,ID,Logo
Atlanta Hawks,1,https://a.espncdn.com/i/teamlogos/nba/500/atl.png
Boston Celtics,2,https://a.espncdn.com/i/teamlogos/nba/500/bos.png
Brooklyn Nets,17,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png
Charlotte Hornets,30,https://a.espncdn.com/i/teamlogos/nba/500/cha.png
Chicago Bulls,4,https://a.espncdn.com/i/teamlogos/nba/500/chi.png
Cleveland Cavaliers,5,https://a.espncdn.com/i/teamlogos/nba/500/cle.png
Dallas Mavericks,6,https://a.espncdn.com/i/teamlogos/nba/500/dal.png
Denver Nuggets,7,https://a.espncdn.com/i/teamlogos/nba/500/den.png
Detroit Pistons,8,https://a.espncdn.com/i/teamlogos/nba/500/det.png
Golden State Warriors,9,https://a.espncdn.com/i/teamlogos/nba/500/gs.png
Houston Rockets,10,https://a.espncdn.com/i/teamlogos/nba/500/hou.png
Indiana Pacers,11,https://a.espncdn.com/i/teamlogos/nba/500/ind.png
LA Clippers,12,https://a.espncdn.com/i/teamlogos/nba/500/lac.png
Los Angeles Lakers,13,https://a.espncdn.com/i/teamlogos/nba/500/lal.png
Memphis Grizzlies,29,https://a.espncdn.com/i/teamlogos/nba/500/mem.png
Miami Heat,14,https://a.espncdn.com/i/teamlogos/nba/500/mia.png
Milwaukee Bucks,15,https://a.espncdn.com/i/teamlogos/nba/500/mil.png
Minnesota Timberwolves,16,https://a.espncdn.com/i/teamlogos/nba/500/min.png
New Orleans Pelicans,3,https://a.espncdn.com/i/teamlogos/nba/500/no.png
New York Knicks,18,https://a.espncdn.com/i/teamlogos/nba/500/ny.png
Oklahoma City Thunder,25,https://a.espncdn.com/i/teamlogos/nba/500/okc.png
Orlando Magic,19,https://a.espncdn.com/i/teamlogos/nba/500/orl.png
Philadelphia 76ers,20,https://a.espncdn.com/i/teamlogos/nba/500/phi.png
Phoenix Suns,21,https://a.espncdn.com/i/teamlogos/nba/500/phx.png
Portland Trail Blazers,22,https://a.espncdn.com/i/teamlogos/nba/500/por.png
Sacramento Kings,23,https://a.espncdn.com/i/teamlogos/nba/500/sac.png
San Antonio Spurs,24,https://a.espncdn.com/i/teamlogos/nba/500/sa.png
Toronto Raptors,28,https://a.espncdn.com/i/teamlogos/nba/500/tor.png
Utah Jazz,26,https://a.espncdn.com/i/teamlogos/nba/500/utah.png
Washington Wizards,27,https://a.espncdn.com/i/teamlogos/nba/500/wsh.png
